customer_id,order_date,year,month,category,quantity,discount_pct,shipping_fee_usd,total_amount_usd,customer_rating,is_repeat_customer,age,membership_tier,total_spend_usd,total_orders,avg_order_value_usd,revenue_usd,orders,unique_customers
C07108,2020-08-27,2020,8,Automotive,1,0,0,74.23,4.1,1,30,Free,1351.52,15,89.71,35804.39,289,284
C03487,2024-04-11,2024,4,Jewelry & Accessories,1,0,3.99,24.27,4.1,0,39,Gold,1318.66,17,84.85,33388.59,295,291
C03062,2023-06-25,2023,6,Office Supplies,1,20,0,94.86,4,0,39,Free,320.89,3,113.74,34020.34,275,272
C00888,2020-08-16,2020,8,Electronics,1,50,0,47.1,4.1,1,33,Free,336.17,2,146.94,35804.39,289,284
C01674,2020-04-24,2020,4,Jewelry & Accessories,2,0,9.99,208.02,2.8,1,18,Free,940.31,27,34.8,34865.39,281,275
C07761,2022-04-27,2022,4,Electronics,1,0,3.99,71.74,4.1,0,32,Free,146.02,1,129.76,35381.99,265,257
C02205,2023-12-14,2023,12,Sports & Outdoors,2,0,0,139.62,4.1,0,34,Free,3715.65,19,218.34,32063.21,272,267
C01219,2024-04-25,2024,4,Jewelry & Accessories,1,0,4.99,94.79,4.8,1,52,Free,1995.33,24,80.26,33388.59,295,291
C03734,2025-06-05,2025,6,Home & Kitchen,2,0,6.99,150.19,4.1,0,28,Free,5969.85,25,252.24,40777.79,306,297
C02055,2021-08-19,2021,8,Clothing & Apparel,3,0,3.99,192.67,2.7,1,35,Free,3534.59,13,278.37,33747.82,267,260
C05153,2022-03-28,2022,3,Automotive,1,15,0,110.3,4.2,0,60,Platinum,388.73,4,110.21,31024.2,260,256
C06548,2024-05-01,2024,5,Clothing & Apparel,1,0,0,41.78,2.4,1,58,Silver,2735.21,61,48.34,29911.52,260,252
C00717,2026-02-18,2026,2,Sports & Outdoors,1,0,4.99,39.63,4.2,1,18,Gold,654.03,14,46.65,38488.48,254,251
C03489,2020-12-13,2020,12,Food & Grocery,1,15,0,24.53,4.1,1,36,Gold,975.94,6,182.82,39996.64,303,294
C05450,2020-05-31,2020,5,Books,1,25,3.99,18.95,4.8,1,53,Free,654.89,5,123.32,38625.73,286,282
C07823,2025-05-14,2025,5,Beauty & Personal Care,1,0,0,26.32,4.1,1,44,Free,836.07,13,71.92,36208.38,287,283
C03783,2022-09-25,2022,9,Electronics,1,15,4.99,140.38,4.1,1,35,Silver,507.73,12,42.66,33303.4,273,268
C01465,2025-04-22,2025,4,Electronics,2,5,4.99,245.33,4.1,0,23,Free,99.51,9,11.08,31374.44,264,258
C04004,2025-06-26,2025,6,Clothing & Apparel,3,10,0,148.89,4.1,0,28,Free,2168.66,19,105.67,40777.79,306,297
C02873,2021-03-19,2021,3,Sports & Outdoors,1,20,0,31.6,4.1,1,24,Free,3086.51,13,244.31,36891.43,292,285
C05396,2026-01-24,2026,1,Automotive,1,0,6.99,53.23,3.4,1,39,Silver,128.49,7,19.25,44793.18,316,309
C06927,2023-07-19,2023,7,Clothing & Apparel,2,0,6.99,76.97,4.1,1,43,Silver,474.32,10,47.29,33716.87,263,258
C00352,2022-08-20,2022,8,Beauty & Personal Care,2,0,6.99,32.64,4.1,1,47,Free,3030.96,75,43.1,35474.91,277,274
C05873,2021-01-22,2021,1,Books,2,0,0,33.59,4.3,1,27,Free,925.87,28,31.33,31245.22,281,278
C01275,2025-08-02,2025,8,Clothing & Apparel,1,0,4.99,63,4.1,1,38,Free,2611.71,62,44.92,34388.76,290,286
C01668,2024-11-24,2024,11,Electronics,1,0,0,144.94,4.1,0,55,Gold,143.8,1,145.4,34159.4,260,254
C03555,2023-12-08,2023,12,Health & Wellness,1,0,4.99,22.81,4.1,0,23,Gold,269.67,5,50.46,32063.21,272,267
C07787,2020-12-14,2020,12,Jewelry & Accessories,2,0,0,96.38,2.7,1,47,Free,584.35,19,27.95,39996.64,303,294
C01926,2024-08-29,2024,8,Travel & Luggage,1,20,4.99,142.38,4.1,1,27,Free,1057.49,31,32.81,31282.29,258,252
C02238,2025-01-25,2025,1,Jewelry & Accessories,1,0,0,183.38,4.1,1,51,Free,1221.57,12,89.52,32012.75,255,249
C00492,2021-08-29,2021,8,Food & Grocery,4,20,3.99,85.17,4.1,1,42,Silver,3240.09,39,74.15,33747.82,267,260
C04094,2025-05-23,2025,5,Home & Kitchen,1,15,0,43.19,4.8,0,28,Platinum,1154.59,11,118.93,36208.38,287,283
C05882,2021-06-22,2021,6,Electronics,1,5,4.99,50.46,4.1,1,42,Gold,175.18,6,26.51,32344.03,266,256
C00293,2025-07-19,2025,7,Clothing & Apparel,2,0,4.99,188.38,4.1,0,28,Gold,989.76,16,62.7,41236.16,269,267
C03042,2022-08-30,2022,8,Sports & Outdoors,2,0,6.99,83.32,4.1,0,38,Platinum,4252.35,12,312.51,35474.91,277,274
C07540,2022-07-05,2022,7,Electronics,3,15,0,382.36,3.6,1,38,Free,46.13,2,23.69,31442.92,263,260
C01274,2023-06-19,2023,6,Beauty & Personal Care,1,0,4.99,22.62,4.1,1,27,Free,777.46,21,40.9,34020.34,275,272
C06513,2020-07-27,2020,7,Home & Kitchen,1,0,3.99,108.26,3,1,38,Gold,1505.65,10,158.21,31542.99,266,261
C02310,2025-03-21,2025,3,Sports & Outdoors,1,0,0,54.9,4.1,0,18,Free,147.15,3,49.03,38073.94,302,301
C01825,2023-05-04,2023,5,Health & Wellness,1,30,0,29.45,4.8,1,45,Silver,39.37,1,35.1,39628.39,280,274
C06617,2021-09-01,2021,9,Clothing & Apparel,4,0,4.99,536.54,4,0,33,Free,1233.61,12,93.66,30858.17,263,256
C07915,2025-04-19,2025,4,Office Supplies,1,0,0,44.18,4.1,1,55,Free,1403.14,9,160.82,31374.44,264,258
C00957,2021-03-20,2021,3,Electronics,4,0,0,862.22,4.7,1,33,Free,1558.68,11,162.42,36891.43,292,285
C05737,2021-03-04,2021,3,Electronics,1,0,6.99,94.42,4.1,0,23,Free,3963.02,24,151.05,36891.43,292,285
C05853,2023-11-09,2023,11,Home & Kitchen,1,0,6.99,65.93,3,1,22,Free,72.15,2,34.08,34414.38,265,262
C05685,2022-01-18,2022,1,Home & Kitchen,1,0,6.99,52.77,4.1,0,22,Free,911.51,12,69.71,35008.98,290,284
C07293,2020-06-10,2020,6,Pet Supplies,1,0,0,29.33,4.1,1,28,Silver,31.22,1,32.36,31689.22,258,256
C00452,2025-12-14,2025,12,Beauty & Personal Care,4,0,4.99,120.84,4.1,1,18,Free,1111.33,4,295.54,39321.84,304,298
C07615,2023-11-16,2023,11,Electronics,1,0,4.99,141.54,4.1,1,35,Free,654.52,5,115.39,34414.38,265,262
C03219,2023-02-13,2023,2,Electronics,1,0,3.99,99.8,3.9,1,38,Free,1011.92,12,80.69,32628.65,259,258
C03444,2023-08-13,2023,8,Clothing & Apparel,2,0,0,161.02,2.2,1,39,Free,682.96,7,99.47,31889.91,261,256
C00131,2025-04-23,2025,4,Electronics,1,0,0,135.66,4.1,0,44,Free,1427.33,12,116.66,31374.44,264,258
C03836,2020-04-14,2020,4,Clothing & Apparel,1,5,4.99,46.36,3.4,1,23,Free,596.45,8,65.56,34865.39,281,275
C01124,2024-09-16,2024,9,Beauty & Personal Care,1,15,4.99,49.35,4,0,41,Free,1027.51,12,75.07,36001.08,293,290
C07314,2021-06-12,2021,6,Electronics,4,0,6.99,901.63,4.3,1,60,Silver,2969.06,22,122.57,32344.03,266,256
C06526,2024-08-06,2024,8,Food & Grocery,1,0,0,41.65,4.1,1,33,Free,149.12,2,67.79,31282.29,258,252
C07987,2025-07-16,2025,7,Sports & Outdoors,1,0,6.99,65.6,4.4,1,22,Free,894.63,9,115.01,41236.16,269,267
C02458,2022-06-26,2022,6,Health & Wellness,1,25,0,34.98,4.1,1,27,Free,9648.88,79,110.95,39403.82,270,262
C02277,2023-08-13,2023,8,Clothing & Apparel,1,0,9.99,46.93,4.1,1,35,Silver,612.87,17,34.43,31889.91,261,256
C04450,2021-03-12,2021,3,Clothing & Apparel,2,0,3.99,160.12,4.1,1,23,Free,251.53,7,41.37,36891.43,292,285
C06292,2023-08-27,2023,8,Clothing & Apparel,2,0,9.99,183.46,4.1,0,28,Free,461.79,6,74.39,31889.91,261,256
C07908,2023-05-24,2023,5,Travel & Luggage,1,0,9.99,65.33,4.1,1,28,Free,86.17,4,24.38,39628.39,280,274
C05525,2024-12-24,2024,12,Electronics,3,0,6.99,295.44,4.1,0,46,Gold,500.42,8,56.32,31629.3,263,259
C05225,2020-11-23,2020,11,Books,1,0,0,33.33,4.1,1,34,Gold,3580.59,18,178.76,36607.41,279,271
C00044,2024-05-10,2024,5,Home & Kitchen,1,0,0,136.64,4.1,0,56,Free,1184.28,18,57.63,29911.52,260,252
C07302,2020-12-12,2020,12,Home & Kitchen,1,15,4.99,52.65,4.1,0,46,Silver,685.97,18,36.71,39996.64,303,294
C03180,2022-10-15,2022,10,Automotive,1,5,0,70.04,4.1,1,31,Free,2980.44,51,67.79,39203.31,307,301
C01293,2026-01-30,2026,1,Health & Wellness,2,0,6.99,85.25,4.3,0,24,Gold,445.37,4,127.36,44793.18,316,309
C00670,2021-02-12,2021,2,Clothing & Apparel,2,20,4.99,59.29,3.9,1,18,Free,4296.96,29,148.31,30976.31,257,250
C07819,2023-09-03,2023,9,Travel & Luggage,1,0,0,127.24,3.7,0,30,Free,117.71,3,43.78,33957.89,257,255
C04042,2025-07-04,2025,7,Beauty & Personal Care,1,0,6.99,32.42,4.1,1,30,Free,187.29,2,86.89,41236.16,269,267
C03557,2021-11-24,2021,11,Jewelry & Accessories,3,5,0,337.98,4.1,0,22,Free,369.22,6,56.67,31966,260,254
C07787,2021-09-18,2021,9,Clothing & Apparel,2,0,4.99,159.56,4.1,1,47,Free,584.35,19,27.95,30858.17,263,256
C00094,2023-04-29,2023,4,Home & Kitchen,3,20,4.99,163.18,4.8,0,49,Free,2717.38,39,66.79,36986.87,283,277
C07145,2025-12-15,2025,12,Electronics,1,5,4.99,124.67,3.9,1,21,Free,775.08,10,73.2,39321.84,304,298
C05703,2021-02-11,2021,2,Clothing & Apparel,1,25,0,74.79,4.2,1,38,Free,142.45,3,52.5,30976.31,257,250
C06190,2022-10-30,2022,10,Beauty & Personal Care,5,0,0,101.2,3.2,1,34,Free,1807.28,25,70.24,39203.31,307,301
C01226,2021-10-16,2021,10,Home & Kitchen,2,20,6.99,179.36,4.1,0,34,Gold,611.88,6,92.63,33889.76,284,280
C00843,2021-08-31,2021,8,Electronics,1,20,0,181.91,4.1,1,39,Free,1199.7,13,85.93,33747.82,267,260
C04880,2025-08-02,2025,8,Electronics,2,0,4.99,213.25,4.1,1,22,Free,1274.38,32,39.71,34388.76,290,286
C06507,2024-02-05,2024,2,Home & Kitchen,4,0,9.99,597.18,4.1,1,24,Gold,1753.91,11,181.13,32650.56,271,267
C03635,2024-05-14,2024,5,Home & Kitchen,1,10,4.99,28.21,3,1,53,Free,388.66,7,52.83,29911.52,260,252
C03234,2021-07-25,2021,7,Clothing & Apparel,1,0,0,80.56,4.1,1,18,Free,4143.79,34,132.98,33495.74,275,270
C01268,2025-03-10,2025,3,Electronics,4,0,3.99,884.13,4.1,1,36,Free,469.64,8,59.01,38073.94,302,301
C06923,2020-10-07,2020,10,Home & Kitchen,1,0,3.99,59.63,3.7,1,58,Free,2510.72,22,102.83,31217.93,269,262
C03527,2021-11-13,2021,11,Sports & Outdoors,1,0,4.99,105,4.3,1,20,Gold,430.5,8,63.02,31966,260,254
C07378,2024-01-10,2024,1,Books,2,5,4.99,46.83,4.1,1,47,Free,1652.77,15,97.99,31774.33,276,268
C05595,2020-09-14,2020,9,Health & Wellness,3,0,4.99,102.04,4.1,1,48,Gold,492.7,7,69.59,34467.9,241,237
C05351,2021-02-25,2021,2,Clothing & Apparel,2,0,0,118.17,4.1,0,25,Silver,283.55,10,32.09,30976.31,257,250
C06101,2020-06-05,2020,6,Electronics,1,25,0,252.41,4.3,1,26,Silver,755.95,5,155.15,31689.22,258,256
C06965,2024-05-29,2024,5,Health & Wellness,4,0,0,94.2,4.1,1,35,Free,750.2,20,39.9,29911.52,260,252
C00547,2026-03-30,2026,3,Home & Kitchen,2,0,6.99,81.15,4.3,0,33,Free,652.52,19,39.04,32872.17,266,261
C04528,2023-09-25,2023,9,Toys & Games,2,0,9.99,91.1,4.1,1,66,Free,255.85,2,149.02,33957.89,257,255
C03146,2021-11-06,2021,11,Jewelry & Accessories,1,10,3.99,82.63,4.1,1,43,Free,1291.36,30,38.35,31966,260,254
C02786,2022-04-09,2022,4,Food & Grocery,2,0,4.99,66.95,4.1,1,35,Platinum,1661.9,19,76.42,35381.99,265,257
C04311,2024-09-04,2024,9,Books,1,0,4.99,29.2,4.1,0,18,Gold,1072.34,6,172.73,36001.08,293,290
C01652,2023-02-24,2023,2,Electronics,1,30,3.99,114.96,4.1,1,49,Silver,874.61,15,53.79,32628.65,259,258
C03992,2025-06-01,2025,6,Beauty & Personal Care,2,0,0,26.68,4.8,1,46,Free,926.76,10,81.43,40777.79,306,297
C06678,2022-03-05,2022,3,Automotive,1,0,0,113.78,4.1,1,24,Free,1277.28,8,141.27,31024.2,260,256
C00159,2025-12-15,2025,12,Automotive,2,0,0,120.96,4.8,1,21,Silver,390.17,9,43.47,39321.84,304,298
C04612,2022-07-27,2022,7,Clothing & Apparel,1,0,0,74.45,4.1,1,33,Platinum,798.25,6,121.6,31442.92,263,260
C06601,2022-10-29,2022,10,Electronics,1,0,6.99,218.84,4.1,0,32,Free,1023.42,18,59.93,39203.31,307,301
C01733,2021-09-03,2021,9,Clothing & Apparel,1,0,4.99,118.14,4.1,1,53,Free,3249.12,38,80.37,30858.17,263,256
C05648,2026-01-21,2026,1,Automotive,2,0,0,119.68,4.1,1,50,Silver,894.77,20,45.76,44793.18,316,309
C07865,2023-10-14,2023,10,Home & Kitchen,2,15,9.99,77.38,4.1,1,37,Free,265.16,2,144.95,39317.26,290,287
C07602,2025-08-28,2025,8,Sports & Outdoors,1,0,3.99,41.21,4.1,1,29,Free,755.68,14,59.74,34388.76,290,286
C00919,2021-06-28,2021,6,Automotive,1,10,4.99,94.24,4.8,1,33,Free,335.53,7,46.96,32344.03,266,256
C03367,2024-03-15,2024,3,Home & Kitchen,2,0,3.99,121.07,3.8,1,24,Silver,1667.54,21,69.19,38111.12,301,297
C02465,2021-10-11,2021,10,Books,5,10,9.99,111.13,4.1,1,36,Free,264.92,2,125.21,33889.76,284,280
C02037,2025-07-13,2025,7,Toys & Games,1,40,0,35.03,4.1,1,49,Free,1362.01,7,169.5,41236.16,269,267
C03409,2022-04-01,2022,4,Clothing & Apparel,2,0,0,139.74,3.7,1,42,Free,139.05,3,40.93,35381.99,265,257
C05689,2025-02-15,2025,2,Toys & Games,3,0,3.99,163.35,4.1,1,34,Free,989.9,21,47.99,29197.88,255,255
C06211,2021-04-26,2021,4,Home & Kitchen,1,0,0,98.32,4.1,1,35,Free,198.18,8,23.45,30250.04,245,241
C04217,2022-08-10,2022,8,Electronics,1,0,6.99,137.32,3.6,0,43,Free,87.9,2,45.67,35474.91,277,274
C03724,2020-02-07,2020,2,Electronics,2,0,3.99,403.34,4.4,0,45,Free,755.64,5,149.85,34304.78,268,263
C04818,2020-02-05,2020,2,Electronics,1,0,6.99,83.74,4.1,1,33,Free,985.45,26,36.92,34304.78,268,263
C04862,2020-04-06,2020,4,Beauty & Personal Care,2,0,6.99,67.12,4.2,0,46,Free,746.59,21,33.66,34865.39,281,275
C06876,2024-11-14,2024,11,Sports & Outdoors,1,0,0,62.15,4.1,1,21,Gold,3639.44,16,219.63,34159.4,260,254
C00987,2024-04-21,2024,4,Health & Wellness,1,0,3.99,31.51,4.1,1,24,Free,12901.84,46,261.53,33388.59,295,291
C05828,2026-03-19,2026,3,Electronics,1,0,3.99,113.93,4.3,1,37,Free,933.95,7,124.45,32872.17,266,261
C00218,2020-01-12,2020,1,Automotive,1,0,0,52.78,4.1,1,23,Silver,533.99,11,44.22,35415.25,266,261
C07835,2024-07-07,2024,7,Clothing & Apparel,1,0,0,90.61,4.1,0,43,Free,740.72,14,52.98,33667.59,286,283
C05333,2021-06-23,2021,6,Health & Wellness,1,0,3.99,16.84,4.1,1,20,Free,356,10,38.58,32344.03,266,256
C05445,2025-04-30,2025,4,Home & Kitchen,2,0,9.99,129.23,4.6,1,41,Free,234.38,7,35.39,31374.44,264,258
C05122,2025-07-14,2025,7,Books,1,0,3.99,43.28,4.1,1,36,Free,1026.45,9,114.21,41236.16,269,267
C06517,2024-03-26,2024,3,Clothing & Apparel,2,20,6.99,45.01,4.4,1,38,Free,2469.17,52,49.92,38111.12,301,297
C00057,2024-09-12,2024,9,Automotive,1,0,0,55.44,4.1,1,43,Free,393.57,6,59.43,36001.08,293,290
C05235,2023-10-15,2023,10,Clothing & Apparel,1,0,0,100.3,3.8,0,45,Free,586.29,29,20.07,39317.26,290,287
C03160,2026-03-25,2026,3,Clothing & Apparel,3,0,9.99,271.6,4.1,0,33,Silver,1119.58,27,38.27,32872.17,266,261
C06925,2023-01-10,2023,1,Health & Wellness,2,0,9.99,67.47,4.1,1,44,Silver,1429.44,15,111.75,38618.99,284,279
C05825,2022-04-15,2022,4,Electronics,2,0,4.99,288.17,4.6,1,18,Free,376.59,22,17.29,35381.99,265,257
C06506,2026-03-24,2026,3,Books,1,0,3.99,32.34,3.9,1,29,Free,521.86,15,32.63,32872.17,266,261
C00485,2020-08-31,2020,8,Health & Wellness,1,0,4.99,16.05,4.5,0,38,Platinum,3137.09,16,218.06,35804.39,289,284
C00883,2021-11-06,2021,11,Office Supplies,1,40,4.99,59.2,4.1,1,54,Free,515.55,8,67.66,31966,260,254
C05080,2024-02-24,2024,2,Electronics,5,15,0,470.58,4.1,1,50,Free,676.31,7,91.55,32650.56,271,267
C00616,2023-03-12,2023,3,Beauty & Personal Care,1,0,6.99,30.14,4.1,0,30,Silver,159.99,4,37.08,34346.46,264,263
C01354,2021-11-10,2021,11,Home & Kitchen,1,20,3.99,43.82,4.1,0,38,Free,100.05,8,13.33,31966,260,254
C00937,2021-09-08,2021,9,Beauty & Personal Care,1,10,3.99,29.34,4.1,0,49,Free,672.56,18,42.77,30858.17,263,256
C00684,2025-12-16,2025,12,Beauty & Personal Care,1,0,0,22.84,4.1,0,37,Free,385.28,8,53.57,39321.84,304,298
C01151,2022-08-16,2022,8,Sports & Outdoors,3,0,6.99,231.67,2.5,0,18,Silver,579.74,8,79,35474.91,277,274
C07172,2020-05-25,2020,5,Home & Kitchen,1,0,0,79.17,4,0,35,Silver,166.58,3,52.28,38625.73,286,282
C00796,2023-05-19,2023,5,Beauty & Personal Care,1,0,4.99,47.23,4.1,0,31,Free,5536.58,48,105.62,39628.39,280,274
C07771,2022-07-07,2022,7,Electronics,1,0,4.99,97.89,4.1,1,36,Free,85.05,1,76.76,31442.92,263,260
C00504,2021-04-09,2021,4,Jewelry & Accessories,1,0,3.99,75.24,3.4,0,37,Free,1206.9,15,90.26,30250.04,245,241
C05714,2022-07-10,2022,7,Books,1,0,9.99,65.2,4.1,1,35,Free,2752.57,9,278.13,31442.92,263,260
